epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.99299,0.76382,3.00403,1.04722,0.00333,1,0.995,0.84029,0.57684,2.67269,0.79809,0.00028,0.00028,0.00028
2,7.39568,0.64096,1.30134,0.89017,1,0.68534,0.99403,0.79516,0.73381,2.6682,0.83499,0.000577129,0.000577129,0.000577129
3,10.7474,0.61964,1.16876,0.91135,1,0.3263,0.97023,0.79798,0.68261,2.98386,0.87397,0.000871288,0.000871288,0.000871288
4,13.9023,0.66498,1.07432,0.92408,1,0.84339,0.995,0.84095,0.62416,2.61686,0.88414,0.00116248,0.00116248,0.00116248
5,17.0675,0.6481,1.00192,0.91421,1,0.88019,0.995,0.80326,0.69902,2.3295,0.91174,0.0014507,0.0014507,0.0014507
6,20.2041,0.6635,0.95418,0.92893,0.99439,1,0.995,0.87126,0.59434,1.70713,0.94056,0.00173595,0.00173595,0.00173595
7,23.3476,0.61195,0.79731,0.90838,0.9971,1,0.995,0.86295,0.58854,1.26161,0.94689,0.0019406,0.0019406,0.0019406
8,26.5092,0.63021,0.79832,0.92441,0.98794,1,0.995,0.86962,0.56134,1.29375,0.95363,0.0019307,0.0019307,0.0019307
9,29.6428,0.6433,0.76449,0.94467,0.99882,1,0.995,0.84676,0.57679,0.94658,0.96158,0.0019208,0.0019208,0.0019208
10,32.8091,0.63975,0.71451,0.93264,0.99827,1,0.995,0.84307,0.61655,0.56213,1.00872,0.0019109,0.0019109,0.0019109
11,35.9782,0.61015,0.65329,0.91931,0.99821,1,0.995,0.85631,0.60659,0.57332,0.97415,0.001901,0.001901,0.001901
12,39.1248,0.61205,0.60316,0.9332,0.99824,1,0.995,0.87461,0.57495,0.56515,0.95446,0.0018911,0.0018911,0.0018911
13,42.2651,0.61997,0.58508,0.93678,0.99828,1,0.995,0.87773,0.57113,0.49074,0.94912,0.0018812,0.0018812,0.0018812
14,45.4131,0.57703,0.54322,0.91334,0.99789,1,0.995,0.85831,0.60568,0.47255,0.98303,0.0018713,0.0018713,0.0018713
15,48.5541,0.63932,0.54753,0.92936,0.99811,1,0.995,0.85452,0.61088,0.43426,0.9748,0.0018614,0.0018614,0.0018614
16,51.7036,0.60745,0.53335,0.93487,0.99815,1,0.995,0.83535,0.65171,0.40438,0.99319,0.0018515,0.0018515,0.0018515
17,54.8511,0.60243,0.49368,0.92637,0.99806,1,0.995,0.86292,0.57881,0.35237,0.94015,0.0018416,0.0018416,0.0018416
18,57.9991,0.59457,0.47394,0.9256,0.99808,1,0.995,0.88432,0.54765,0.35035,0.94095,0.0018317,0.0018317,0.0018317
19,61.159,0.59623,0.49839,0.92686,0.99781,1,0.995,0.85553,0.58017,0.42416,0.95533,0.0018218,0.0018218,0.0018218
20,64.3132,0.57545,0.44541,0.92633,0.9977,1,0.995,0.87633,0.55262,0.39461,0.94139,0.0018119,0.0018119,0.0018119
21,67.4657,0.55583,0.43034,0.89984,0.99785,1,0.995,0.84779,0.56644,0.37932,0.93825,0.001802,0.001802,0.001802
22,70.6173,0.5488,0.4281,0.90538,0.9982,1,0.995,0.88906,0.5658,0.32096,0.94789,0.0017921,0.0017921,0.0017921
23,73.7746,0.55513,0.41642,0.92919,0.99816,1,0.995,0.85325,0.58329,0.32373,0.95918,0.0017822,0.0017822,0.0017822
24,76.9281,0.57809,0.41586,0.91518,0.99823,1,0.995,0.87775,0.52455,0.3155,0.931,0.0017723,0.0017723,0.0017723
25,80.0609,0.57563,0.40745,0.9156,0.99738,1,0.995,0.89103,0.51205,0.32236,0.92575,0.0017624,0.0017624,0.0017624
26,83.2292,0.58715,0.409,0.903,0.99817,1,0.995,0.86375,0.56267,0.31189,0.93796,0.0017525,0.0017525,0.0017525
27,86.3991,0.5472,0.37749,0.89909,0.99811,1,0.995,0.87784,0.54592,0.31097,0.93114,0.0017426,0.0017426,0.0017426
28,89.5552,0.5334,0.36157,0.90915,0.99821,1,0.995,0.89737,0.52535,0.31324,0.92327,0.0017327,0.0017327,0.0017327
29,92.708,0.55663,0.37467,0.90293,0.99797,1,0.995,0.87924,0.5403,0.298,0.94319,0.0017228,0.0017228,0.0017228
30,95.8933,0.54324,0.36017,0.87961,0.99819,1,0.995,0.8801,0.57123,0.30232,0.94926,0.0017129,0.0017129,0.0017129
31,99.0653,0.53117,0.35923,0.90371,0.99811,1,0.995,0.90889,0.49668,0.26713,0.9156,0.001703,0.001703,0.001703
32,102.24,0.53369,0.34934,0.90499,0.99816,1,0.995,0.88858,0.56395,0.31507,0.93994,0.0016931,0.0016931,0.0016931
33,105.372,0.5346,0.36678,0.90152,0.99811,1,0.995,0.8559,0.61298,0.3388,0.96623,0.0016832,0.0016832,0.0016832
34,108.527,0.5616,0.38507,0.91336,0.99727,1,0.995,0.87449,0.58283,0.29949,0.94546,0.0016733,0.0016733,0.0016733
35,111.685,0.5346,0.35272,0.90336,0.99788,1,0.995,0.86228,0.59387,0.32586,0.94388,0.0016634,0.0016634,0.0016634
